time,open,high,low,close,tick_volume,spread,real_volume
2024-12-17 16:58:00,1.04999,1.05021,1.04999,1.05021,70,13,0
2024-12-17 16:59:00,1.05012,1.05044,1.05011,1.05044,74,14,0
2024-12-17 17:00:00,1.05044,1.05057,1.05041,1.05051,91,13,0
2024-12-17 17:01:00,1.05051,1.05051,1.05033,1.05033,46,12,0
2024-12-17 17:02:00,1.05034,1.05035,1.05,1.05003,97,12,0
2024-12-17 17:03:00,1.05002,1.05016,1.05002,1.05006,55,15,0
2024-12-17 17:04:00,1.05004,1.05019,1.05,1.0500099999999999,53,13,0
2024-12-17 17:05:00,1.0500099999999999,1.05019,1.0500099999999999,1.05011,46,12,0
2024-12-17 17:06:00,1.05011,1.05031,1.05009,1.05016,49,12,0
2024-12-17 17:07:00,1.05016,1.05017,1.04993,1.05007,83,12,0
2024-12-17 17:08:00,1.05007,1.05052,1.05006,1.05045,153,14,0
2024-12-17 17:09:00,1.05044,1.05051,1.05035,1.05047,61,13,0
2024-12-17 17:10:00,1.05045,1.0505,1.05027,1.05027,73,13,0
2024-12-17 17:11:00,1.05027,1.05042,1.05026,1.05035,41,12,0
2024-12-17 17:12:00,1.05035,1.0504,1.05013,1.05014,79,12,0
2024-12-17 17:13:00,1.05015,1.05024,1.05011,1.05024,87,13,0
2024-12-17 17:14:00,1.05027,1.05059,1.05027,1.0505,80,14,0
2024-12-17 17:15:00,1.05051,1.05087,1.05051,1.05082,77,13,0
2024-12-17 17:16:00,1.05082,1.05087,1.05065,1.05067,143,13,0
2024-12-17 17:17:00,1.05067,1.05074,1.05051,1.05065,178,13,0
2024-12-17 17:18:00,1.05065,1.05068,1.05056,1.05064,107,13,0
2024-12-17 17:19:00,1.05065,1.05069,1.05051,1.05051,86,14,0
2024-12-17 17:20:00,1.05052,1.05053,1.05038,1.05038,82,13,0
2024-12-17 17:21:00,1.05039,1.05041,1.05032,1.05032,46,13,0
2024-12-17 17:22:00,1.05029,1.05033,1.04996,1.0500099999999999,87,14,0
2024-12-17 17:23:00,1.0500099999999999,1.05027,1.05,1.05025,107,13,0
2024-12-17 17:24:00,1.05026,1.05036,1.05015,1.05025,76,12,0
