time,open,high,low,close,tick_volume,spread,real_volume
2024-12-17 17:05:00,1.0500099999999999,1.05052,1.04993,1.05047,392,12,0
2024-12-17 17:10:00,1.05045,1.05059,1.05011,1.0505,360,12,0
2024-12-17 17:15:00,1.05051,1.05087,1.05051,1.05051,591,13,0
2024-12-17 17:20:00,1.05052,1.05053,1.04996,1.05025,398,12,0
2024-12-17 17:25:00,1.05025,1.05076,1.05022,1.05038,586,12,0
2024-12-17 17:30:00,1.05041,1.05046,1.05002,1.05015,489,13,0
2024-12-17 17:35:00,1.05015,1.05036,1.04989,1.0503,488,13,0
2024-12-17 17:40:00,1.05029,1.05045,1.0499,1.05,536,12,0
2024-12-17 17:45:00,1.05003,1.05029,1.04951,1.0496,597,12,0
2024-12-17 17:50:00,1.0496,1.05002,1.04952,1.04994,538,12,0
2024-12-17 17:55:00,1.04993,1.04993,1.0495,1.04982,734,12,0
2024-12-17 18:00:00,1.04983,1.0503,1.0498,1.05007,953,12,0
2024-12-17 18:05:00,1.05008,1.05036,1.04995,1.0503,488,12,0
2024-12-17 18:10:00,1.0503,1.05054,1.04994,1.05006,395,12,0
2024-12-17 18:15:00,1.05007,1.05029,1.04987,1.04988,296,12,0
2024-12-17 18:20:00,1.04985,1.04989,1.04937,1.04985,472,12,0
2024-12-17 18:25:00,1.04983,1.05023,1.04975,1.04982,520,12,0
2024-12-17 18:30:00,1.04981,1.04991,1.04949,1.04989,341,12,0
2024-12-17 18:35:00,1.04989,1.05009,1.04981,1.04999,283,12,0
2024-12-17 18:40:00,1.04997,1.05011,1.04986,1.04995,333,12,0
2024-12-17 18:45:00,1.04995,1.05014,1.04987,1.05005,199,12,0
2024-12-17 18:50:00,1.05006,1.05029,1.05003,1.05025,319,13,0
2024-12-17 18:55:00,1.05026,1.05055,1.05026,1.05044,197,12,0
2024-12-17 19:00:00,1.05044,1.05086,1.05037,1.05083,295,13,0
2024-12-17 19:05:00,1.05083,1.05152,1.05082,1.05129,364,12,0
2024-12-17 19:10:00,1.05129,1.05134,1.0499,1.04993,577,12,0
2024-12-17 19:15:00,1.04991,1.0504,1.04988,1.04996,268,12,0
2024-12-17 19:20:00,1.04996,1.05024,1.04981,1.0499,254,12,0
2024-12-17 19:25:00,1.0499,1.05055,1.04987,1.05054,253,13,0
2024-12-17 19:30:00,1.05054,1.0507,1.05015,1.05021,305,13,0
2024-12-17 19:35:00,1.05021,1.05023,1.05003,1.0501800000000001,281,13,0
2024-12-17 19:40:00,1.0502,1.0505,1.05014,1.05039,305,12,0
2024-12-17 19:45:00,1.05039,1.05063,1.05028,1.05057,180,13,0
2024-12-17 19:50:00,1.05058,1.05058,1.04974,1.05005,261,12,0
2024-12-17 19:55:00,1.05005,1.05014,1.04975,1.0499,237,12,0
2024-12-17 20:00:00,1.04988,1.04995,1.04958,1.0496,233,12,0
2024-12-17 20:05:00,1.0496,1.04991,1.04947,1.04991,205,12,0
2024-12-17 20:10:00,1.04991,1.04992,1.04968,1.04981,177,13,0
2024-12-17 20:15:00,1.04981,1.04986,1.04959,1.04965,178,12,0
2024-12-17 20:20:00,1.04963,1.0498,1.04946,1.04972,228,12,0
2024-12-17 20:25:00,1.04973,1.04983,1.04962,1.04982,158,12,0
2024-12-17 20:30:00,1.04982,1.05011,1.04975,1.05005,160,12,0
2024-12-17 20:35:00,1.05005,1.05034,1.04999,1.05022,164,12,0
2024-12-17 20:40:00,1.05021,1.05035,1.05007,1.05009,154,13,0
2024-12-17 20:45:00,1.05012,1.05015,1.04949,1.0495,190,12,0
2024-12-17 20:50:00,1.0495,1.04959,1.04894,1.049,352,12,0
2024-12-17 20:55:00,1.049,1.04928,1.04893,1.04927,236,12,0
2024-12-17 21:00:00,1.04927,1.04945,1.04922,1.04924,251,12,0
2024-12-17 21:05:00,1.04925,1.04945,1.04922,1.04925,129,13,0
2024-12-17 21:10:00,1.04924,1.04929,1.04909,1.04923,181,13,0
2024-12-17 21:15:00,1.04923,1.04933,1.04909,1.0491,116,13,0
2024-12-17 21:20:00,1.04909,1.04916,1.04886,1.04892,177,13,0
2024-12-17 21:25:00,1.04892,1.04896,1.04873,1.04876,91,13,0
2024-12-17 21:30:00,1.04876,1.04905,1.04876,1.04901,102,12,0
2024-12-17 21:35:00,1.049,1.04908,1.0489,1.04907,144,12,0
2024-12-17 21:40:00,1.04907,1.04918,1.04891,1.04909,104,13,0
2024-12-17 21:45:00,1.04909,1.04926,1.04891,1.04924,122,13,0
2024-12-17 21:50:00,1.04924,1.04928,1.04901,1.04901,91,14,0
2024-12-17 21:55:00,1.04901,1.04904,1.04876,1.04877,190,13,0
2024-12-17 22:00:00,1.04878,1.04891,1.04873,1.04887,129,13,0
2024-12-17 22:05:00,1.04887,1.04897,1.04887,1.04889,80,12,0
2024-12-17 22:10:00,1.04889,1.04889,1.04869,1.0487,106,13,0
2024-12-17 22:15:00,1.0487,1.04885,1.04868,1.04875,86,14,0
2024-12-17 22:20:00,1.04875,1.04878,1.0487,1.04878,94,14,0
2024-12-17 22:25:00,1.04879,1.04897,1.04875,1.04896,115,14,0
2024-12-17 22:30:00,1.04897,1.049,1.04875,1.04887,81,12,0
2024-12-17 22:35:00,1.04887,1.04891,1.04877,1.04878,96,13,0
2024-12-17 22:40:00,1.04878,1.04885,1.04869,1.04873,99,12,0
2024-12-17 22:45:00,1.04873,1.04877,1.04843,1.04851,123,12,0
2024-12-17 22:50:00,1.04851,1.0487,1.04847,1.04864,106,13,0
2024-12-17 22:55:00,1.04864,1.04892,1.04854,1.04875,191,13,0
2024-12-17 23:00:00,1.04876,1.04876,1.04859,1.04866,102,12,0
2024-12-17 23:05:00,1.04867,1.04878,1.04865,1.04876,46,14,0
2024-12-17 23:10:00,1.04876,1.04881,1.04872,1.04875,49,13,0
2024-12-17 23:15:00,1.04875,1.04886,1.04874,1.04884,37,13,0
2024-12-17 23:20:00,1.04885,1.04888,1.04881,1.04888,35,14,0
2024-12-17 23:25:00,1.04889,1.04892,1.04883,1.04888,41,12,0
2024-12-17 23:30:00,1.04888,1.04895,1.04887,1.04895,47,13,0
2024-12-17 23:35:00,1.04894,1.0491,1.04893,1.0491,41,13,0
2024-12-17 23:40:00,1.04909,1.04921,1.04904,1.04918,61,14,0
2024-12-17 23:45:00,1.04918,1.04922,1.04912,1.04914,56,15,0
2024-12-17 23:50:00,1.04914,1.04915,1.04905,1.04908,50,15,0
2024-12-17 23:55:00,1.04908,1.04913,1.04874,1.04889,108,14,0
2024-12-18 00:05:00,1.04897,1.04914,1.04895,1.04909,23,42,0
2024-12-18 00:10:00,1.04899,1.04911,1.04898,1.04905,26,43,0
2024-12-18 00:15:00,1.04909,1.04927,1.049,1.04915,24,34,0
2024-12-18 00:20:00,1.04906,1.04926,1.04903,1.04904,26,43,0
2024-12-18 00:25:00,1.04904,1.04916,1.04895,1.04906,18,35,0
2024-12-18 00:30:00,1.04904,1.0491,1.04894,1.04896,21,39,0
2024-12-18 00:35:00,1.04896,1.04911,1.04896,1.04906,17,38,0
2024-12-18 00:40:00,1.04906,1.04912,1.04903,1.04908,20,36,0
2024-12-18 00:45:00,1.04906,1.04911,1.04905,1.04907,11,30,0
2024-12-18 00:50:00,1.04907,1.04912,1.04904,1.04912,18,34,0
2024-12-18 00:55:00,1.04912,1.04939,1.04911,1.04911,103,13,0
2024-12-18 01:00:00,1.04913,1.0493,1.04911,1.04917,115,18,0
2024-12-18 01:05:00,1.04917,1.04923,1.04909,1.04917,43,18,0
2024-12-18 01:10:00,1.04917,1.04923,1.04911,1.04916,44,18,0
2024-12-18 01:15:00,1.04916,1.0492,1.0491,1.0492,37,17,0
2024-12-18 01:20:00,1.0492,1.04929,1.04917,1.04923,53,16,0
2024-12-18 01:25:00,1.04923,1.04926,1.04921,1.04924,25,15,0
2024-12-18 01:30:00,1.04924,1.04931,1.04924,1.0493,30,15,0
2024-12-18 01:35:00,1.0493,1.04934,1.04928,1.04932,48,15,0
2024-12-18 01:40:00,1.04932,1.0493999999999999,1.04928,1.0493999999999999,47,13,0
2024-12-18 01:45:00,1.0493999999999999,1.04943,1.04937,1.04938,51,13,0
2024-12-18 01:50:00,1.04938,1.04946,1.04936,1.04942,54,15,0
2024-12-18 01:55:00,1.04941,1.04943,1.04937,1.04938,58,15,0
2024-12-18 02:00:00,1.04937,1.04937,1.04921,1.04928,91,14,0
2024-12-18 02:05:00,1.04928,1.04958,1.04927,1.04955,105,14,0
2024-12-18 02:10:00,1.04955,1.0497,1.04955,1.04969,69,13,0
2024-12-18 02:15:00,1.04969,1.04994,1.04961,1.04986,84,13,0
2024-12-18 02:20:00,1.04986,1.04996,1.04973,1.04983,96,13,0
2024-12-18 02:25:00,1.04983,1.05007,1.04982,1.0500099999999999,56,14,0
2024-12-18 02:30:00,1.05002,1.05005,1.04982,1.0499,92,14,0
2024-12-18 02:35:00,1.0499,1.05008,1.04989,1.05007,45,13,0
2024-12-18 02:40:00,1.05005,1.05016,1.04997,1.05009,94,13,0
2024-12-18 02:45:00,1.05008,1.0502,1.04983,1.04993,131,14,0
2024-12-18 02:50:00,1.04993,1.05009,1.04979,1.04984,380,12,0
2024-12-18 02:55:00,1.0498,1.04991,1.04965,1.04985,191,12,0
2024-12-18 03:00:00,1.04985,1.0500099999999999,1.0497,1.04972,135,13,0
2024-12-18 03:05:00,1.04973,1.0498,1.04958,1.04959,143,13,0
2024-12-18 03:10:00,1.04959,1.04974,1.04955,1.04962,67,14,0
2024-12-18 03:15:00,1.04963,1.04989,1.0496,1.04986,100,13,0
2024-12-18 03:20:00,1.04986,1.04999,1.04984,1.0499,57,13,0
2024-12-18 03:25:00,1.04989,1.04997,1.04976,1.04984,136,12,0
2024-12-18 03:30:00,1.04983,1.04987,1.04968,1.04984,146,13,0
2024-12-18 03:35:00,1.04985,1.04986,1.04961,1.0497,86,13,0
2024-12-18 03:40:00,1.0497,1.04997,1.04969,1.04993,92,14,0
2024-12-18 03:45:00,1.04992,1.04992,1.04965,1.04972,89,13,0
2024-12-18 03:50:00,1.04972,1.04981,1.04948,1.0498,201,13,0
2024-12-18 03:55:00,1.0498,1.05019,1.04976,1.05015,195,12,0
2024-12-18 04:00:00,1.0501800000000001,1.0503,1.04994,1.04994,187,13,0
2024-12-18 04:05:00,1.04994,1.05,1.04983,1.04989,187,12,0
2024-12-18 04:10:00,1.04989,1.04995,1.04984,1.04994,132,13,0
2024-12-18 04:15:00,1.04994,1.04996,1.04973,1.04978,58,13,0
2024-12-18 04:20:00,1.04977,1.04985,1.04968,1.04974,66,12,0
2024-12-18 04:25:00,1.04974,1.04983,1.04964,1.04983,53,13,0
2024-12-18 04:30:00,1.04984,1.04996,1.04982,1.04986,49,13,0
2024-12-18 04:35:00,1.04985,1.04991,1.04982,1.04989,61,13,0
2024-12-18 04:40:00,1.04985,1.04993,1.04955,1.04985,132,12,0
2024-12-18 04:45:00,1.04985,1.05013,1.04982,1.05005,82,14,0
2024-12-18 04:50:00,1.05006,1.05025,1.05002,1.05003,142,13,0
2024-12-18 04:55:00,1.05003,1.05006,1.04991,1.05004,112,12,0
2024-12-18 05:00:00,1.05004,1.05004,1.04982,1.04999,61,13,0
2024-12-18 05:05:00,1.04999,1.0501,1.04986,1.05002,71,14,0
2024-12-18 05:10:00,1.05003,1.05013,1.04999,1.05007,74,14,0
2024-12-18 05:15:00,1.05007,1.05017,1.04999,1.04999,56,13,0
2024-12-18 05:20:00,1.04998,1.05011,1.04995,1.05008,138,14,0
2024-12-18 05:25:00,1.05008,1.05021,1.05002,1.05019,47,13,0
2024-12-18 05:30:00,1.05019,1.05019,1.0500099999999999,1.05008,83,13,0
2024-12-18 05:35:00,1.05007,1.05017,1.05003,1.05011,106,13,0
2024-12-18 05:40:00,1.05011,1.05013,1.04991,1.04991,58,14,0
2024-12-18 05:45:00,1.04991,1.05008,1.04991,1.05008,65,13,0
2024-12-18 05:50:00,1.05008,1.0501,1.04996,1.04997,33,13,0
2024-12-18 05:55:00,1.04996,1.05003,1.04981,1.04984,55,13,0
2024-12-18 06:00:00,1.04984,1.04991,1.04969,1.0497,124,13,0
2024-12-18 06:05:00,1.0497,1.04978,1.04966,1.0497,80,14,0
2024-12-18 06:10:00,1.0497,1.04973,1.04953,1.04959,198,14,0
2024-12-18 06:15:00,1.0495700000000001,1.04983,1.04954,1.04973,141,14,0
2024-12-18 06:20:00,1.04975,1.04998,1.04972,1.04987,100,14,0
2024-12-18 06:25:00,1.04987,1.05002,1.04973,1.04996,122,13,0
2024-12-18 06:30:00,1.04996,1.05027,1.04996,1.0501800000000001,124,12,0
2024-12-18 06:35:00,1.05022,1.05038,1.0502,1.05038,61,13,0
2024-12-18 06:40:00,1.05038,1.0505,1.05036,1.05048,86,13,0
2024-12-18 06:45:00,1.0505,1.0505,1.05036,1.0504,58,13,0
2024-12-18 06:50:00,1.0504,1.05046,1.05029,1.0503,58,14,0
2024-12-18 06:55:00,1.0503,1.05038,1.05019,1.05025,105,13,0
2024-12-18 07:00:00,1.05024,1.05024,1.05009,1.05011,62,13,0
2024-12-18 07:05:00,1.05013,1.05013,1.04997,1.04999,95,13,0
2024-12-18 07:10:00,1.04998,1.0502,1.04996,1.0501800000000001,100,12,0
2024-12-18 07:15:00,1.0501800000000001,1.05023,1.0500099999999999,1.05004,40,13,0
2024-12-18 07:20:00,1.05004,1.0502,1.0500099999999999,1.05007,110,12,0
2024-12-18 07:25:00,1.05005,1.05008,1.04995,1.04999,86,13,0
2024-12-18 07:30:00,1.05,1.05012,1.04995,1.0501,92,13,0
2024-12-18 07:35:00,1.0501,1.05019,1.05002,1.05011,53,13,0
2024-12-18 07:40:00,1.05012,1.05023,1.0501,1.05013,67,13,0
2024-12-18 07:45:00,1.05013,1.0503,1.05011,1.05024,53,13,0
2024-12-18 07:50:00,1.05024,1.05041,1.05015,1.05031,54,13,0
2024-12-18 07:55:00,1.05032,1.05032,1.05003,1.05017,107,13,0
2024-12-18 08:00:00,1.05015,1.05051,1.0501,1.05047,211,12,0
2024-12-18 08:05:00,1.05048,1.05058,1.05044,1.05054,133,12,0
2024-12-18 08:10:00,1.05054,1.05061,1.05043,1.05051,122,12,0
2024-12-18 08:15:00,1.0505,1.05069,1.05048,1.0506199999999999,77,13,0
2024-12-18 08:20:00,1.05063,1.05077,1.05056,1.05061,96,13,0
2024-12-18 08:25:00,1.0506199999999999,1.0506199999999999,1.05051,1.05055,81,12,0
2024-12-18 08:30:00,1.05055,1.05061,1.05045,1.05061,67,13,0
2024-12-18 08:35:00,1.0506,1.05071,1.0506,1.05068,68,12,0
2024-12-18 08:40:00,1.05068,1.05088,1.05068,1.05087,109,12,0
2024-12-18 08:45:00,1.05089,1.05105,1.05072,1.05084,107,13,0
2024-12-18 08:50:00,1.05081,1.05101,1.05076,1.05085,135,13,0
2024-12-18 08:55:00,1.05085,1.05111,1.0507900000000001,1.05104,151,14,0
2024-12-18 09:00:00,1.05108,1.0512,1.05086,1.05093,373,12,0
2024-12-18 09:05:00,1.05095,1.05114,1.05071,1.05107,295,12,0
2024-12-18 09:10:00,1.05108,1.0512,1.05099,1.05103,250,12,0
2024-12-18 09:15:00,1.05103,1.05106,1.0507,1.05093,340,14,0
2024-12-18 09:20:00,1.05094,1.05115,1.05076,1.05076,283,13,0
2024-12-18 09:25:00,1.05076,1.05098,1.05067,1.05067,171,12,0
2024-12-18 09:30:00,1.05065,1.05081,1.05049,1.05055,393,13,0
2024-12-18 09:35:00,1.05055,1.0506199999999999,1.05047,1.0506,151,13,0
2024-12-18 09:40:00,1.0506,1.0506,1.0502,1.05021,315,12,0
2024-12-18 09:45:00,1.05021,1.05025,1.04985,1.04988,220,12,0
2024-12-18 09:50:00,1.04988,1.04988,1.04932,1.04937,413,12,0
2024-12-18 09:55:00,1.04938,1.04981,1.04928,1.04962,406,12,0
2024-12-18 10:00:00,1.04962,1.04965,1.04937,1.04945,352,12,0
2024-12-18 10:05:00,1.04944,1.04983,1.04915,1.0492,364,12,0
2024-12-18 10:10:00,1.04918,1.04923,1.04886,1.04912,366,12,0
2024-12-18 10:15:00,1.04909,1.04929,1.04905,1.04912,196,13,0
2024-12-18 10:20:00,1.04912,1.04914,1.04868,1.0489,323,12,0
2024-12-18 10:25:00,1.0489,1.04921,1.0488,1.0492,391,12,0
2024-12-18 10:30:00,1.04919,1.04948,1.04913,1.04944,365,12,0
2024-12-18 10:35:00,1.04943,1.04956,1.0493,1.04939,224,12,0
2024-12-18 10:40:00,1.04939,1.0495700000000001,1.0493,1.04938,228,12,0
2024-12-18 10:45:00,1.04938,1.04956,1.04919,1.0493999999999999,311,12,0
2024-12-18 10:50:00,1.0493999999999999,1.04944,1.04906,1.0491,242,12,0
2024-12-18 10:55:00,1.0491,1.04935,1.04893,1.04926,208,13,0
2024-12-18 11:00:00,1.04924,1.0493999999999999,1.04916,1.04924,253,12,0
2024-12-18 11:05:00,1.04924,1.04934,1.04906,1.04926,175,12,0
2024-12-18 11:10:00,1.04925,1.04967,1.04915,1.04959,232,12,0
2024-12-18 11:15:00,1.04959,1.04965,1.04921,1.04933,245,12,0
2024-12-18 11:20:00,1.04933,1.04978,1.04932,1.04971,185,13,0
2024-12-18 11:25:00,1.04971,1.04978,1.04926,1.04931,189,12,0
2024-12-18 11:30:00,1.04931,1.04964,1.04919,1.04926,225,12,0
2024-12-18 11:35:00,1.04924,1.04949,1.04913,1.04934,317,12,0
2024-12-18 11:40:00,1.04934,1.0495700000000001,1.04908,1.04932,219,13,0
2024-12-18 11:45:00,1.04932,1.04945,1.04914,1.04934,202,12,0
2024-12-18 11:50:00,1.04934,1.04939,1.04914,1.04915,207,12,0
2024-12-18 11:55:00,1.04915,1.04943,1.04913,1.04932,154,13,0
2024-12-18 12:00:00,1.04934,1.04969,1.04919,1.04961,257,13,0
2024-12-18 12:05:00,1.04961,1.04961,1.04907,1.0491,215,13,0
2024-12-18 12:10:00,1.0491,1.04925,1.04905,1.04907,141,13,0
2024-12-18 12:15:00,1.04907,1.04927,1.04905,1.04922,152,13,0
2024-12-18 12:20:00,1.04922,1.04931,1.04906,1.04919,184,12,0
2024-12-18 12:25:00,1.04919,1.04919,1.04883,1.04888,192,12,0
2024-12-18 12:30:00,1.04888,1.04907,1.04885,1.04899,128,12,0
2024-12-18 12:35:00,1.04899,1.04953,1.04891,1.04926,322,12,0
2024-12-18 12:40:00,1.04926,1.04996,1.04918,1.04979,206,12,0
2024-12-18 12:45:00,1.04978,1.04982,1.04955,1.04972,195,12,0
2024-12-18 12:50:00,1.04972,1.04977,1.0493999999999999,1.04949,214,12,0
2024-12-18 12:55:00,1.04947,1.04979,1.04933,1.04979,199,12,0
2024-12-18 13:00:00,1.04979,1.04987,1.0496,1.04971,196,13,0
2024-12-18 13:05:00,1.04971,1.05028,1.04971,1.05014,256,12,0
2024-12-18 13:10:00,1.05013,1.0501800000000001,1.04982,1.05,352,13,0
2024-12-18 13:15:00,1.05,1.05005,1.04959,1.0496,289,13,0
2024-12-18 13:20:00,1.04961,1.04984,1.04949,1.04958,183,12,0
2024-12-18 13:25:00,1.04958,1.05004,1.04954,1.04997,176,12,0
2024-12-18 13:30:00,1.04998,1.05022,1.04991,1.04995,148,12,0
2024-12-18 13:35:00,1.04995,1.05021,1.04995,1.05009,213,12,0
2024-12-18 13:40:00,1.05005,1.0503,1.0499,1.05017,246,12,0
2024-12-18 13:45:00,1.05017,1.0501800000000001,1.04979,1.0498,162,12,0
2024-12-18 13:50:00,1.04979,1.04982,1.04942,1.04954,263,12,0
2024-12-18 13:55:00,1.04954,1.04963,1.0493999999999999,1.04959,243,12,0
2024-12-18 14:00:00,1.0496,1.04968,1.04939,1.04953,267,13,0
2024-12-18 14:05:00,1.04954,1.04961,1.04915,1.04918,224,12,0
2024-12-18 14:10:00,1.04918,1.04937,1.04912,1.04918,181,12,0
2024-12-18 14:15:00,1.04918,1.04959,1.04916,1.0493999999999999,129,12,0
2024-12-18 14:20:00,1.04946,1.04965,1.04927,1.04956,233,12,0
2024-12-18 14:25:00,1.0495700000000001,1.04969,1.04933,1.04943,268,12,0
2024-12-18 14:30:00,1.04943,1.04994,1.04942,1.04991,261,12,0
2024-12-18 14:35:00,1.04994,1.05014,1.04948,1.0496,465,13,0
2024-12-18 14:40:00,1.0496,1.04973,1.04935,1.04941,264,12,0
2024-12-18 14:45:00,1.04941,1.04945,1.04919,1.04929,279,12,0
2024-12-18 14:50:00,1.0493,1.04947,1.04916,1.04938,278,12,0
2024-12-18 14:55:00,1.04938,1.04938,1.04849,1.04898,462,12,0
2024-12-18 15:00:00,1.04899,1.04947,1.04889,1.04944,367,12,0
2024-12-18 15:05:00,1.04943,1.04981,1.04935,1.04954,402,12,0
2024-12-18 15:10:00,1.04954,1.04968,1.04936,1.04942,348,12,0
2024-12-18 15:15:00,1.04943,1.04943,1.04872,1.04874,372,12,0
2024-12-18 15:20:00,1.04875,1.04878,1.04824,1.04859,470,12,0
2024-12-18 15:25:00,1.04859,1.04864,1.04818,1.04862,266,12,0
2024-12-18 15:30:00,1.04862,1.04883,1.04845,1.04872,262,12,0
2024-12-18 15:35:00,1.04874,1.04929,1.04872,1.04929,240,13,0
2024-12-18 15:40:00,1.04929,1.04929,1.04889,1.04891,334,12,0
2024-12-18 15:45:00,1.0489,1.04934,1.0488,1.04904,351,12,0
2024-12-18 15:50:00,1.04899,1.04916,1.04868,1.04893,602,12,0
2024-12-18 15:55:00,1.04892,1.04924,1.04886,1.04914,456,12,0
2024-12-18 16:00:00,1.04913,1.04933,1.04883,1.04926,472,12,0
2024-12-18 16:05:00,1.04927,1.04954,1.04908,1.04946,372,13,0
2024-12-18 16:10:00,1.04947,1.04949,1.04902,1.0491,370,12,0
2024-12-18 16:15:00,1.04912,1.04935,1.04901,1.04903,226,12,0
2024-12-18 16:20:00,1.04904,1.0492,1.04874,1.04888,349,12,0
2024-12-18 16:25:00,1.04888,1.04901,1.04874,1.04882,276,12,0
2024-12-18 16:30:00,1.04886,1.04912,1.04871,1.04877,285,12,0
2024-12-18 16:35:00,1.04877,1.0491,1.04866,1.04905,336,12,0
2024-12-18 16:40:00,1.04907,1.04923,1.04879,1.0489,265,12,0
2024-12-18 16:45:00,1.0489,1.0495700000000001,1.04887,1.04949,415,12,0
2024-12-18 16:50:00,1.04934,1.05024,1.04934,1.04999,541,12,0
2024-12-18 16:55:00,1.04999,1.04999,1.04923,1.04959,574,12,0
2024-12-18 17:00:00,1.04959,1.0498,1.04931,1.04931,472,12,0
2024-12-18 17:05:00,1.04931,1.04934,1.04892,1.04905,325,12,0
2024-12-18 17:10:00,1.04905,1.04919,1.04889,1.04892,390,12,0
2024-12-18 17:15:00,1.04887,1.04898,1.04852,1.04864,441,12,0
2024-12-18 17:20:00,1.04864,1.04901,1.0486,1.049,333,12,0
2024-12-18 17:25:00,1.04899,1.04902,1.0485,1.04881,301,12,0
2024-12-18 17:30:00,1.04881,1.04891,1.04853,1.04863,272,13,0
2024-12-18 17:35:00,1.04863,1.04879,1.0484,1.04874,232,12,0
2024-12-18 17:40:00,1.04874,1.04891,1.0486,1.04865,292,12,0
2024-12-18 17:45:00,1.04865,1.04866,1.0475,1.04752,448,12,0
2024-12-18 17:50:00,1.04749,1.0476,1.04704,1.0471,731,12,0
2024-12-18 17:55:00,1.04711,1.04734,1.04693,1.04732,694,12,0
2024-12-18 18:00:00,1.04731,1.04752,1.0471,1.04734,452,12,0
2024-12-18 18:05:00,1.04734,1.04744,1.0469,1.04703,275,12,0
2024-12-18 18:10:00,1.04704,1.04746,1.047,1.04738,216,13,0
2024-12-18 18:15:00,1.04737,1.04805,1.04733,1.04789,280,12,0
2024-12-18 18:20:00,1.04789,1.04796,1.04769,1.04777,313,12,0
2024-12-18 18:25:00,1.04778,1.04788,1.04724,1.04746,399,12,0
2024-12-18 18:30:00,1.04749,1.04765,1.04732,1.04736,290,12,0
2024-12-18 18:35:00,1.04736,1.04748,1.04674,1.04687,344,13,0
2024-12-18 18:40:00,1.04687,1.04717,1.04685,1.04704,265,12,0
2024-12-18 18:45:00,1.04704,1.04704,1.04674,1.04683,283,12,0
2024-12-18 18:50:00,1.04683,1.04686,1.04662,1.04676,212,12,0
2024-12-18 18:55:00,1.04676,1.04691,1.04665,1.04684,251,12,0
2024-12-18 19:00:00,1.04684,1.04725,1.04682,1.04721,393,12,0
2024-12-18 19:05:00,1.0472,1.04736,1.04707,1.04719,338,12,0
2024-12-18 19:10:00,1.04716,1.04745,1.04714,1.04734,199,12,0
2024-12-18 19:15:00,1.04734,1.04735,1.04692,1.04704,254,12,0
2024-12-18 19:20:00,1.04706,1.0473,1.04698,1.04726,189,12,0
2024-12-18 19:25:00,1.04726,1.04748,1.04721,1.0474,277,12,0
2024-12-18 19:30:00,1.04739,1.04759,1.04731,1.04759,160,13,0
2024-12-18 19:35:00,1.0476,1.04774,1.04757,1.04761,193,12,0
2024-12-18 19:40:00,1.04761,1.04768,1.04746,1.04767,196,13,0
2024-12-18 19:45:00,1.04768,1.04793,1.04761,1.04793,148,12,0
2024-12-18 19:50:00,1.04793,1.04793,1.04751,1.04756,165,13,0
2024-12-18 19:55:00,1.04755,1.04756,1.04727,1.04747,171,12,0
2024-12-18 20:00:00,1.04747,1.04769,1.0473,1.04755,139,12,0
2024-12-18 20:05:00,1.04755,1.04776,1.0475,1.04772,138,13,0
2024-12-18 20:10:00,1.04772,1.04787,1.04759,1.04774,146,12,0
2024-12-18 20:15:00,1.04774,1.04806,1.04772,1.04799,197,12,0
2024-12-18 20:20:00,1.04795,1.04815,1.04791,1.04809,122,12,0
2024-12-18 20:25:00,1.04809,1.04838,1.04801,1.04838,237,13,0
2024-12-18 20:30:00,1.04839,1.04898,1.04838,1.04893,287,12,0
2024-12-18 20:35:00,1.04892,1.04914,1.04877,1.04891,316,12,0
